brand,category,collected_at,error,excluded_reason,match_score,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,result_title,seed_product,seed_query,source,status,url,usable_for_baseline,volume_hint
라로슈포제,선케어,20260614T072530Z,,volume_mismatch,60,29490,1,ml,30.0,29490,라로슈 포제 유비데아 안뗄리오스 톤업 라이트 선크림 30ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=32899139&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False,50ml
라로슈포제,선케어,20260614T072530Z,,,80,18797,1,ml,50.0,18797,라로슈 포제 안뗄리오스 울트라 선크림 50ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=116119555&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
라로슈포제,선케어,20260614T072530Z,,,70,22650,1,ml,50.0,22650,라로슈 포제 안뗄리오스 오일컨트롤 썬 젤-크림 SPF50+ 50ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=79702820&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
라로슈포제,선케어,20260614T072530Z,,volume_mismatch,60,29500,1,ml,30.0,29500,라로슈 포제 유비데아 안뗄리오스 톤업 로지 선크림 30ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=93047861&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False,50ml
라로슈포제,선케어,20260614T072530Z,,,80,49900,1,ml,50.0,49900,라로슈 포제 안뗄리오스 무향 울트라 선크림 50ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=116304337&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True,50ml
라로슈포제,선케어,20260614T072530Z,,volume_mismatch,50,44810,1,ml,30.0,44810,라로슈 포제 안뗄리오스 톤업 클리어 30ml,안뗄리오스 선크림,라로슈포제 안뗄리오스 선크림,danawa,200,https://prod.danawa.com/info/?pcode=43889051&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False,50ml
아누아,토너,20260614T072530Z,,,90,12400,1,ml,250.0,12400,아누아 어성초 77 % 진정 토너 250ml,어성초 77 수딩 토너,아누아 어성초 77 토너,danawa,200,https://prod.danawa.com/info/?pcode=71589449&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,True,250ml
아누아,토너,20260614T072530Z,,volume_mismatch,70,42900,1,ml,500.0,42900,아누아 어성초 77 % 진정 토너 500ml,어성초 77 수딩 토너,아누아 어성초 77 토너,danawa,200,https://prod.danawa.com/info/?pcode=12664208&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False,250ml
아누아,토너,20260614T072530Z,,volume_mismatch,70,30450,1,ml,350.0,30450,아누아 어성초 77 수딩 토너 350ml,어성초 77 수딩 토너,아누아 어성초 77 토너,danawa,200,https://prod.danawa.com/info/?pcode=14507213&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False,250ml
아누아,토너,20260614T072530Z,,volume_mismatch,70,16200,1,ml,350.0,16200,아누아 어성초 77 % 수딩 토너 (구) 350ml,어성초 77 수딩 토너,아누아 어성초 77 토너,danawa,200,https://prod.danawa.com/info/?pcode=97743473&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,False,250ml
