collected_at,excluded_reason,match_score,match_status,normalized_price_krw,pack_count,parsed_volume_unit,parsed_volume_value,price_krw,product_key,source,title,url,usable_for_baseline
2026-06-15T08:46:26Z,,80,candidate,22500,1,ml,50.0,22500,아비브어성초선에센스50ml,danawa,아비브 어성초 선 에센스 카밍 드롭 50ml SPF 50+ PA++++ 피부 자극 진정,https://prod.danawa.com/bridge/go_link_goods.php?cate_c1=9875&cate_c2=228064&cate_c3=228259&cate_c4=229756&cmpny_c=EE128&link_prod_c=4700193383&keyword=%EC%95%84%EB%B9%84%EB%B8%8C+%EC%96%B4%EC%84%B1%EC%B4%88+%EC%84%A0+%EC%97%90%EC%84%BC%EC%8A%A4&r=17815131936701&cate=1833257,True
2026-06-15T08:46:26Z,volume_mismatch,50,excluded,30400,1,ml,30.0,30400,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 유비데아 안뗄리오스 멜트인 크림 30ml,https://prod.danawa.com/info/?pcode=43888979&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False
2026-06-15T08:46:26Z,,70,candidate,21470,1,ml,50.0,21470,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 안뗄리오스 울트라 라이트 선플루이드 50ml,https://prod.danawa.com/info/?pcode=11332185&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,volume_mismatch,60,excluded,29490,1,ml,30.0,29490,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 유비데아 안뗄리오스 톤업 라이트 선크림 30ml,https://prod.danawa.com/info/?pcode=32899139&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False
2026-06-15T08:46:26Z,,80,candidate,20510,1,ml,50.0,20510,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 안뗄리오스 울트라 선크림 50ml,https://prod.danawa.com/info/?pcode=116119555&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,volume_mismatch,60,excluded,29500,1,ml,30.0,29500,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 유비데아 안뗄리오스 톤업 로지 선크림 30ml,https://prod.danawa.com/info/?pcode=93047861&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False
2026-06-15T08:46:26Z,,70,candidate,22650,1,ml,50.0,22650,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 안뗄리오스 오일컨트롤 썬 젤-크림 SPF50+ 50ml,https://prod.danawa.com/info/?pcode=79702820&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,,80,candidate,59500,1,ml,50.0,59500,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 안뗄리오스 무향 울트라 선크림 50ml,https://prod.danawa.com/info/?pcode=116304337&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,True
2026-06-15T08:46:26Z,volume_mismatch,50,excluded,44810,1,ml,30.0,44810,라로슈포제안뗄리오스선크림50ml,danawa,라로슈 포제 안뗄리오스 톤업 클리어 30ml,https://prod.danawa.com/info/?pcode=43889051&keyword=%EB%9D%BC%EB%A1%9C%EC%8A%88%ED%8F%AC%EC%A0%9C+%EC%95%88%EB%97%84%EB%A6%AC%EC%98%A4%EC%8A%A4+%EC%84%A0%ED%81%AC%EB%A6%BC&cate=1833257,False
2026-06-15T08:46:26Z,,90,candidate,12400,1,ml,250.0,12400,아누아어성초77수딩토너250ml,danawa,아누아 어성초 77 % 진정 토너 250ml,https://prod.danawa.com/info/?pcode=71589449&keyword=%EC%95%84%EB%88%84%EC%95%84+%EC%96%B4%EC%84%B1%EC%B4%88+77+%ED%86%A0%EB%84%88&cate=18255391,True
